index,Job Title,Lower Salary Expectations,Higher Salary Expectation,Rating,Company Name,Location,State,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Total Years
130,Data Scientist,$90,$109,5,Notion Labs,San Francisco, CA,"San Francisco, CA",1 to 50 employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,,7
131,Senior Data Engineer,$90,$109,4.9,Lendio,Lehi, UT,"Lehi, UT",201 to 500 employees,2011,Company - Private,Lending,Finance,$50 to $100 million (USD),,12
132,Data Engineer,$90,$109,4.4,Direct Agents,Culver City, CA,"New York, NY",51 to 200 employees,2003,Company - Private,Advertising & Marketing,Business Services,$25 to $50 million (USD),,20
133,Data Scientist,$90,$109,3.3,NAVEX Global,Lake Oswego, OR,"Lake Oswego, OR",1001 to 5000 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),,11
134,Machine Learning Engineer,$90,$109,3.2,Triplebyte,Remote,,"San Francisco, CA",51 to 200 employees,2015,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,,8
135,Machine Learning Engineer,$90,$109,3.2,Triplebyte,Remote,,"San Francisco, CA",51 to 200 employees,2015,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,,8
136,Senior Data Engineer,$90,$109,4.9,Lendio,Lehi, UT,"Lehi, UT",201 to 500 employees,2011,Company - Private,Lending,Finance,$50 to $100 million (USD),,12
137,Data Scientist,$90,$109,4.2,Upstart,San Mateo, CA,"San Mateo, CA",201 to 500 employees,2012,Company - Private,Lending,Finance,Unknown / Non-Applicable,,11
138,Data Analyst,$90,$109,4.5,Envision LLC,San Francisco, CA,"Saint Louis, MO",201 to 500 employees,1994,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),,29
139,Data Engineer,$90,$109,4.8,AppLovin,Palo Alto, CA,"Palo Alto, CA",201 to 500 employees,2012,Company - Private,Video Games,Media,Unknown / Non-Applicable,,11
140,Data Integration and Modeling Engineer,$90,$109,3.8,ISO New England,Holyoke, MA,"Holyoke, MA",501 to 1000 employees,1997,Nonprofit Organization,Utilities,"Oil, Gas, Energy & Utilities",Unknown / Non-Applicable,,26
141,Tableau Data Engineer 20-0117,$90,$109,3.7,Relativity,Chicago, IL,"Chicago, IL",1001 to 5000 employees,2001,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,,22
142,Senior Data Scientist,$90,$109,3.3,Tempo Automation,San Francisco, CA,"San Francisco, CA",51 to 200 employees,2013,Company - Private,Electrical & Electronic Manufacturing,Manufacturing,$5 to $10 million (USD),,10
143,AI Data Scientist,$90,$109,3.3,MITRE,McLean, VA,"Bedford, MA",5001 to 10000 employees,1958,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion (USD),"Battelle, General Atomics, SAIC",65
144,Machine Learning Engineer,$90,$109,5,"Expedition Technology, Inc.",Herndon, VA,"Dulles, VA",1 to 50 employees,2013,Company - Private,Aerospace & Defense,Aerospace & Defense,$10 to $25 million (USD),,10
145,Research Scientist Patient Preferences (Remote),$90,$109,3.8,Evidera,Bethesda, MD,"Bethesda, MD",501 to 1000 employees,2013,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),"IQVIA, ICON",10
146,Data Scientist,$90,$109,3.4,Plymouth Rock Assurance,Woodbridge, NJ,"Boston, MA",1001 to 5000 employees,1982,Company - Private,Insurance Carriers,Insurance,$10 to $25 million (USD),"Arbella Insurance, Safety Insurance",41
147,Scientist - Biomarker and Flow Cytometry,$90,$109,2.4,Crown Bioscience,San Diego, CA,"San Diego, CA",501 to 1000 employees,2006,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$50 to $100 million (USD),,17
148,Data Scientist,$90,$109,2.9,GNS Healthcare,Cambridge, MA,"Cambridge, MA",51 to 200 employees,2000,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),,23
149,Analytics Manager,$90,$109,4.4,OneMagnify,Dearborn, MI,"Detroit, MI",201 to 500 employees,1967,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,,56
150,Data Scientist,$90,$109,2.9,SPECTRUM,Maryland Heights, MO,"Stamford, CT",10000+ employees,2016,Subsidiary or Business Segment,"Cable, Internet & Telephone Providers",Telecommunications,$10+ billion (USD),,7
151,Staff Scientist- Upstream PD,$90,$109,2.7,Advanced BioScience Laboratories,Rockville, MD,"Rockville, MD",201 to 500 employees,1961,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$50 to $100 million (USD),,62
152,Data Engineer,$90,$109,4.2,Procore Technologies,Carpinteria, CA,"Carpinteria, CA",1001 to 5000 employees,2002,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,,21
153,Sr Scientist - Extractables & Leachables,$90,$109,3.5,Ritedose,Columbia, SC,"Columbia, SC",201 to 500 employees,1995,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),,28
154,ELISA RESEARCH SCIENTIST (CV-15),$90,$109,,Covid-19 Search Partners,Hauppauge, NY,,,,,,,,,2023
155,Sr Data Scientist,$90,$109,4.2,bioMérieux,Saint Louis, MO,"Marcy-l'Etoile, France",10000+ employees,1963,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),,60
156,Data Scientist,$101,$165,4.5,Novetta,Herndon, VA,"Mc Lean, VA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"Leidos, CACI International, Booz Allen Hamilton",11
157,Experienced Data Scientist,$101,$165,4.4,Guzman & Griffin Technologies (GGTI),Washington, DC,"Mays Landing, NJ",1 to 50 employees,1997,Company - Private,Federal Agencies,Government,Unknown / Non-Applicable,,26
158,Machine Learning Engineer,$101,$165,,Radical Convergence,Reston, VA,,,,,,,,,2023
159,Data Scientist,$101,$165,3.5,Leidos,Fort Meade, MD,"Reston, VA",10000+ employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),,54
160,Data Scientist,$101,$165,4.5,Demandbase,San Francisco, CA,"San Francisco, CA",201 to 500 employees,2006,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),"Engagio, Bombora, Terminus",17
161,Say Business Data Analyst,$101,$165,4.1,Shelter Insurance,Columbia, MO,"Columbia, MO",1001 to 5000 employees,1946,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),,77
162,Geospatial Data Scientist,$101,$165,3.5,Maxar Technologies,Chantilly, VA,"Westminster, CO",5001 to 10000 employees,,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),,2023
163,Data Analyst,$101,$165,2.7,USAC,Washington, DC,"Washington, DC",501 to 1000 employees,1997,Nonprofit Organization,Telecommunications Services,Telecommunications,$25 to $50 million (USD),,26
164,Computational Scientist,$101,$165,3.4,General Dynamics Information Technology,Vicksburg, MS,"Fairfax, VA",10000+ employees,1996,Subsidiary or Business Segment,IT Services,Information Technology,$10+ billion (USD),"SAIC, Leidos, Northrop Grumman",27
165,Data Scientist,$101,$165,4.4,Offerpad,Chandler, AZ,"Chandler, AZ",201 to 500 employees,2015,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,,8
166,Senior Data Analyst,$101,$165,4,Autodesk,San Francisco, CA,"San Rafael, CA",5001 to 10000 employees,1982,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),,41
167,Senior Data Analyst,$101,$165,4.2,Autodesk,San Francisco, CA,"Herndon, VA",5001 to 10000 employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),,55
168,Data Engineer,$101,$165,3.5,Magna International Inc.,Birmingham, AL,"Aurora, Canada",10000+ employees,1957,Company - Public,,,$10+ billion (USD),"Bosch, Lear Corporation, Faurecia",66
169,Sr Data Analyst,$101,$165,2.3,United BioSource,Blue Bell, PA,"Blue Bell, PA",1001 to 5000 employees,2003,Other Organization,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),"Covance, ICON",20
170,Data Scientist,$101,$165,3.4,Kelly,Chicago, IL,"Troy, MI",5001 to 10000 employees,1946,Company - Public,Staffing & Outsourcing,Business Services,$5 to $10 billion (USD),"Adecco, ManpowerGroup, Allegis Corporation",77
171,"Machine Learning Scientist - Bay Area, CA",$101,$165,3.3,Tempus Labs,Redwood City, CA,"Chicago, IL",501 to 1000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,,8
172,Data Scientist,$101,$165,4.7,C3.ai,Redwood City, CA,"Redwood City, CA",201 to 500 employees,2009,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"GE Digital, Palantir Technologies, Uptake",14
173,Senior Data Scientist - Algorithms,$101,$165,3.9,Quartet Health,New York, NY,"New York, NY",201 to 500 employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,,9
174,Data Analyst,$101,$165,3.3,Midland Credit Management,San Diego, CA,"San Diego, CA",1001 to 5000 employees,1953,Subsidiary or Business Segment,Banks & Credit Unions,Finance,$1 to $2 billion (USD),PRA Group,70
175,Senior Data & Machine Learning Scientist,$101,$165,3.3,Tempus Labs,Chicago, IL,"Chicago, IL",501 to 1000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,,8
176,Data Engineer,$101,$165,4.4,Resurgent Capital Services,Cincinnati, OH,"Greenville, SC",201 to 500 employees,1998,Company - Private,Venture Capital & Private Equity,Finance,$50 to $100 million (USD),,25
177,"Data Scientist - Statistics, Early Career",$56,$97,3.7,PNNL,Richland, WA,"Richland, WA",1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",58
178,Data Scientist,$56,$97,3.5,Buckman,Memphis, TN,"Memphis, TN",1001 to 5000 employees,1945,Company - Private,Chemical Manufacturing,Manufacturing,$500 million to $1 billion (USD),,78
179,Machine Learning Engineer,$56,$97,3.6,Buckman,Memphis, TN,"Arlington, VA",501 to 1000 employees,1967,Nonprofit Organization,Federal Agencies,Government,$50 to $100 million (USD),,56
180,Research Scientist - Patient-Centered Research (Remote),$56,$97,3.8,Evidera,Bethesda, MD,"Bethesda, MD",501 to 1000 employees,2013,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),"IQVIA, ICON",10
181,Jr. Business Data Analyst (position added 6/12/2020),$56,$97,4.7,webfx.com,Harrisburg, PA,"Harrisburg, PA",201 to 500 employees,1997,Company - Private,Advertising & Marketing,Business Services,$25 to $50 million (USD),,26
182,Sr. Data Scientist II,$56,$97,3.5,Argo Group US,New York, NY,"Hamilton, Bermuda",1001 to 5000 employees,1948,Company - Public,Insurance Carriers,Insurance,$1 to $2 billion (USD),,75
183,Data Scientist,$56,$97,3.3,BWX Technologies,Oak Ridge, TN,"Lynchburg, VA",5001 to 10000 employees,1850,Company - Public,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD),,173
184,Senior Data Analyst,$56,$97,3.9,Life360,San Francisco, CA,"San Francisco, CA",51 to 200 employees,2008,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,,15
185,Lead Data Scientist,$56,$97,3.7,MassMutual,Boston, MA,"Springfield, MA",5001 to 10000 employees,1851,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),,172
186,Production Engineer - Statistics/Data Analysis,$56,$97,3.9,Natera,San Carlos, CA,"San Carlos, CA",501 to 1000 employees,2004,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),"Genomic Health, 23andMe, Illumina",19
187,Statistical Scientist,$56,$97,4,Genentech,South San Francisco, CA,"South San Francisco, CA",10000+ employees,1976,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),,47
188,Computational Behavioral Scientist,$56,$97,4.2,Ntrepid,Herndon, VA,"Herndon, VA",201 to 500 employees,2010,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),"Bromium, FireEye, Authentic8",13
189,Principal Data Scientist - Machine Learning,$56,$97,3.6,Constant Contact,Waltham, MA,"Waltham, MA",Unknown,1995,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"Drip, iContact, Mailchimp",28
190,Principal Machine Learning Scientist,$56,$97,4.7,Sage Intacct,San Francisco, CA,"San Jose, CA",501 to 1000 employees,1999,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,,24
191,Data Engineer,$56,$97,4.1,Shape Security,Santa Clara, CA,"Mountain View, CA",51 to 200 employees,2011,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,,12
192,Principal Data Scientist,$56,$97,4,AstraZeneca,Gaithersburg, MD,"Cambridge, United Kingdom",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Roche, GlaxoSmithKline, Novartis",110
193,Data Scientist,$56,$97,5,SkillSoniq,San Francisco, CA,"Jersey City, NJ",Unknown,,Company - Public,,,Unknown / Non-Applicable,,2023
194,Senior Data Scientist - R&D Oncology,$56,$97,4,AstraZeneca,New York, NY,"Cambridge, United Kingdom",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Roche, GlaxoSmithKline, Novartis",110
195,Data Scientist,$56,$97,4.3,Joby Aviation,San Carlos, CA,"Santa Cruz, CA",51 to 200 employees,,Company - Private,,,Unknown / Non-Applicable,,2023
196,"Health Plan Data Analyst, Sr",$56,$97,3.8,Cook Children's Health Care System,Fort Worth, TX,"Fort Worth, TX",5001 to 10000 employees,1918,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),"Children's Health, Texas Health Resources, Baylor Scott & White Health",105
197,"Principal Scientist/Associate Director, Quality Control and Analytical Technologies",$56,$97,3.8,Rubius Therapeutics,Smithfield, RI,"Cambridge, MA",201 to 500 employees,2013,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),,10
198,Analytics - Business Assurance Data Analyst,$56,$97,4.6,GreatAmerica Financial Services,Cedar Rapids, IA,"Cedar Rapids, IA",501 to 1000 employees,1992,Company - Private,Lending,Finance,$100 to $500 million (USD),,31
199,Data Scientist - Contract,$79,$106,4.1,Upside Business Travel,Remote,,"Washington, DC",51 to 200 employees,2015,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,,8
200,Data Scientist,$79,$106,3.4,Spectrum Communications and Consulting,Chicago, IL,"Chicago, IL",51 to 200 employees,1992,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),,31
201,Data Scientist,$79,$106,4.1,Coverent,McLean, VA,"McLean, VA",51 to 200 employees,2008,Company - Private,Consulting,Business Services,$10 to $25 million (USD),,15
202,Machine Learning Engineer,$79,$106,3.7,Mteq,Fort Belvoir, VA,"Lorton, VA",501 to 1000 employees,1954,Company - Public,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),"Harris, Fibertek",69
203,Data Engineer,$79,$106,4.4,Rocket Lawyer,San Francisco, CA,"San Francisco, CA",51 to 200 employees,2008,Company - Private,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),,15
204,"Senior Data Scientist – Image Analytics, Novartis AI Innovation Lab",$79,$106,3.9,Novartis,Cambridge, MA,"Basel, Switzerland",10000+ employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),,27
205,Data Engineer,$79,$106,3.6,Alion Science & Technology,Linthicum Heights, MD,"Mc Lean, VA",1001 to 5000 employees,2001,Company - Private,Research & Development,Business Services,$1 to $2 billion (USD),,22
206,Data Science Instructor,$79,$106,4.5,Novetta,Herndon, VA,"Mc Lean, VA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"Leidos, CACI International, Booz Allen Hamilton",11
207,Senior Business Intelligence Analyst,$79,$106,3.7,Protolabs,Maple Plain, MN,"Maple Plain, MN",1001 to 5000 employees,1999,Company - Public,Miscellaneous Manufacturing,Manufacturing,$100 to $500 million (USD),,24
208,In-Line Inspection Data Analyst,$79,$106,2.9,Quest Integrity,Tulsa, OK,"Kent, WA",201 to 500 employees,1996,Company - Public,Oil & Gas Services,"Oil, Gas, Energy & Utilities",$50 to $100 million (USD),,27
209,Data Scientist - TS/SCI FSP or CI Required,$79,$106,5,Phoenix Operations Group,Annapolis Junction, MD,"Woodbine, MD",1 to 50 employees,2011,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),,12
210,Data Scientist,$79,$106,3.4,Dice.com,Newton, MA,"Denver, CO",201 to 500 employees,1990,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),"Monster Worldwide, CareerBuilder, Craigslist",33
211,Senior Data Scientist,$79,$106,3.5,Maxar Technologies,Herndon, VA,"Westminster, CO",5001 to 10000 employees,,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),,2023
212,Data Scientist - TS/SCI Required,$79,$106,5,Phoenix Operations Group,Baltimore, MD,"Woodbine, MD",1 to 50 employees,2011,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),,12
213,Data Science Software Engineer,$79,$106,4.8,Klaviyo,Boston, MA,"Boston, MA",201 to 500 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,,11
214,ENGINEER - COMPUTER SCIENTIST - RESEARCH COMPUTER SCIENTIST - SIGNAL PROCESSING - SAN ANTONIO OR,$79,$106,3.9,Southwest Research Institute,Oklahoma City, OK,"San Antonio, TX",1001 to 5000 employees,1947,Nonprofit Organization,Research & Development,Business Services,$500 million to $1 billion (USD),"Los Alamos National Laboratory, Battelle, SRI International",76
215,AI Ops Data Scientist,$79,$106,4,AstraZeneca,Gaithersburg, MD,"Cambridge, United Kingdom",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Roche, GlaxoSmithKline, Novartis",110
216,"Intelligence Data Analyst, Senior",$79,$106,4.3,The Buffalo Group,Fort Belvoir, VA,"Reston, VA",501 to 1000 employees,2010,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),"ManTech, Booz Allen Hamilton, Leidos",13
217,Analytics Manager - Data Mart,$79,$106,3.5,Central California Alliance for Health,Scotts Valley, CA,"Scotts Valley, CA",501 to 1000 employees,1996,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),,27
218,Data Modeler (Analytical Systems),$79,$106,3.7,MassMutual,Boston, MA,"Springfield, MA",5001 to 10000 employees,1851,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),,172
219,"Senior Machine Learning Scientist - Bay Area, CA",$79,$106,3.3,Tempus Labs,Redwood City, CA,"Chicago, IL",501 to 1000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,,8
220,Report Writer-Data Analyst,$79,$106,3.1,Security Finance Corporation of Spartanburg,Spartanburg, SC,"Spartanburg, SC",1001 to 5000 employees,1955,Company - Private,Lending,Finance,Unknown / Non-Applicable,,68
221,Data Scientist/Machine Learning,$71,$123,4.3,PulsePoint,New York, NY,"New York, NY",51 to 200 employees,2011,Company - Private,Internet,Information Technology,$100 to $500 million (USD),"Crossix Solutions Inc., AppNexus, The Trade Desk",12
222,Data Scientist - Risk,$71,$123,4.2,LSQ,Orlando, FL,"Orlando, FL",51 to 200 employees,1996,Company - Private,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),,27
223,Data Engineer,$71,$123,4.4,Resurgent Capital Services,Cincinnati, OH,"Greenville, SC",201 to 500 employees,1998,Company - Private,Venture Capital & Private Equity,Finance,$50 to $100 million (USD),,25
224,Staff Data Scientist - Pricing,$71,$123,3.6,Opendoor,San Francisco, CA,"San Francisco, CA",501 to 1000 employees,2014,Company - Private,Real Estate,Real Estate,$2 to $5 billion (USD),,9
225,Data Scientist,$71,$123,4.5,Global Data Management Inc,Hartford, CT,"Woodbridge, NJ",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),,15
226,Data Scientist,$71,$123,3,Photon Infotech,Chicago, IL,"Chennai, India",1001 to 5000 employees,1999,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),,24
227,Data Scientist,$71,$123,5,REE,United States,,"Tel Aviv-Yafo, Israel",51 to 200 employees,2018,Company - Private,Transportation Equipment Manufacturing,Manufacturing,Unknown / Non-Applicable,,5
228,Machine Learning Engineer,$71,$123,3.6,Riverside Research Institute,Beavercreek, OH,"Arlington, VA",501 to 1000 employees,1967,Nonprofit Organization,Federal Agencies,Government,$50 to $100 million (USD),,56
229,Equity Data Insights Analyst - Quantitative Analyst,$71,$123,3.6,T. Rowe Price,Baltimore, MD,"Baltimore, MD",5001 to 10000 employees,1937,Company - Public,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD),,86
230,Data Scientist,$71,$123,,"Encode, Inc.",Norfolk, VA,"Manalapan, NJ",1 to 50 employees,,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),,2023
231,Research Scientist - Patient-Centered Research (Remote),$71,$123,3.8,Evidera,Bethesda, MD,"Bethesda, MD",501 to 1000 employees,2013,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),"IQVIA, ICON",10
232,Data Scientist,$71,$123,3.3,BWX Technologies,Oak Ridge, TN,"Lynchburg, VA",5001 to 10000 employees,1850,Company - Public,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD),,173
233,Operations Data Analyst,$71,$123,3.8,Brighthouse Financial,Charlotte, NC,"Charlotte, NC",1001 to 5000 employees,2017,Company - Public,Insurance Carriers,Insurance,Unknown / Non-Applicable,,6
234,Sr. Data Scientist II,$71,$123,3.5,Argo Group US,New York, NY,"Hamilton, Bermuda",1001 to 5000 employees,1948,Company - Public,Insurance Carriers,Insurance,$1 to $2 billion (USD),,75
235,Data Scientist,$71,$123,3.3,II-VI Incorporated,Champaign, IL,"Saxonburg, PA",10000+ employees,1971,Company - Public,Telecommunications Manufacturing,Telecommunications,$1 to $2 billion (USD),"Lumentum Operations, Keysight Technologies, O-Net Technologies",52
236,Data Scientist,$71,$123,4.6,Surya Systems,San Francisco, CA,"Bristol, PA",1 to 50 employees,,Company - Private,Computer Hardware & Software,Information Technology,Less than $1 million (USD),,2023
237,Data Scientist,$71,$123,3.8,PayPal,Texas,,"San Jose, CA",10000+ employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),"Square, Amazon, Apple",25
238,Senior Data Analyst,$71,$123,3.9,Life360,San Francisco, CA,"San Francisco, CA",51 to 200 employees,2008,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,,15
239,Data Scientist,$71,$123,3.9,Predictive Research Inc,Plano, TX,"Bangalore, India",1 to 50 employees,,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,,2023
240,Data Scientist,$90,$124,4.7,Oversight Systems,Atlanta, GA,"Atlanta, GA",51 to 200 employees,2003,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),,20
241,Senior Research Statistician- Data Scientist,$90,$124,4.8,Acuity Insurance,Sheboygan, WI,"Sheboygan, WI",1001 to 5000 employees,1925,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),,98
242,Software Data Engineer,$90,$124,3.1,1010data,New York, NY,"New York, NY",201 to 500 employees,2000,Company - Private,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),,23
243,Data Scientist,$90,$124,3.6,Gigya,Palo Alto, CA,"Mountain View, CA",201 to 500 employees,2006,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),,17
244,Real World Evidence (RWE) Scientist,$90,$124,5,Genesis Research,Hoboken, NJ,"Hoboken, NJ",1 to 50 employees,2009,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,,14
245,Data Scientist,$90,$124,3.7,Sanofi,Cambridge, MA,"Paris, France",10000+ employees,1973,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Pfizer, GlaxoSmithKline",50
246,Data Scientist,$90,$124,3.7,XPO Logistics,Lebanon, IN,"Greenwich, CT",10000+ employees,2011,Company - Public,Transportation Management,Transportation & Logistics,$10+ billion (USD),"DHL Supply Chain, UPS, FedEx",12
247,Data Scientist,$90,$124,3.9,Trace Data,Oakland, CA,"Santa Ana, CA",51 to 200 employees,2000,Company - Private,Insurance Carriers,Insurance,$10 to $25 million (USD),,23
248,Data Scientist,$90,$124,4.3,Descript,San Francisco, CA,"Houston, TX",1 to 50 employees,,Company - Private,,,Less than $1 million (USD),,2023
249,Computer Scientist 1,$90,$124,4.2,Rincon Research Corporation,Melbourne, FL,"Tucson, AZ",201 to 500 employees,1983,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),"Raytheon Technologies, General Dynamics, MIT Lincoln Laboratory",40
250,Lead Data Scientist,$90,$124,3.7,MassMutual,Boston, MA,"Springfield, MA",5001 to 10000 employees,1851,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),,172
251,Data Scientist,$90,$124,4,Better Hire,Birmingham, AL,"Birmingham, AL",1 to 50 employees,,Company - Private,,,Unknown / Non-Applicable,,2023
252,Data Scientist,$90,$124,3.3,Parker Hannifin,Cleveland, OH,"Cleveland, OH",10000+ employees,1917,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD),"Eaton, SMC Corporation, Bosch Rexroth",106
253,Data Scientist,$90,$124,4.1,Gallup,New York, NY,"Washington, DC",1001 to 5000 employees,1935,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,"Advisory Board, Booz Allen Hamilton, McKinsey & Company",88
254,Data Scientist,$90,$124,3.3,Insider Inc,New York, NY,"New York, NY",201 to 500 employees,2007,Company - Private,News Outlet,Media,$50 to $100 million (USD),,16
255,Data Scientist,$90,$124,3.9,Rapid Value Solutions,San Francisco, CA,"Pleasanton, CA",201 to 500 employees,2009,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,,14
256,Environmental Data Science,$90,$124,3.1,Battelle,Norwell, MA,"Columbus, OH",10000+ employees,1929,Nonprofit Organization,Research & Development,Business Services,$5 to $10 billion (USD),,94
257,Computational Behavioral Scientist,$90,$124,4.2,Ntrepid,Herndon, VA,"Herndon, VA",201 to 500 employees,2010,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),"Bromium, FireEye, Authentic8",13
258,Data Scientist,$90,$124,5,"The Drive Media, Inc.",New York, NY,,Unknown,,Unknown,,,Unknown / Non-Applicable,,2023
259,Staff BI and Data Engineer,$90,$124,2.9,Affinity Solutions,San Jose, CA,"New York, NY",51 to 200 employees,1998,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"Commerce Signals, Cardlytics, Yodlee",25
260,Principal Machine Learning Scientist,$90,$124,4.7,Sage Intacct,San Francisco, CA,"San Jose, CA",501 to 1000 employees,1999,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,,24
